title,org,category,tags,source_of_finance,project_title,eligibility,contractor_class,performance_period,place_of_performance,dossier_fee,pre_bid_meeting,contact_email,created_date,submission_deadline,submission_time,pdf_url,pdf_accessible,description,detail_url
FTC - Procurement Of One (1) Sport Utility Vehicle (SUV),,Infrastructure,Vehicles,Government of Seychelles,“PROCUREMENT OF,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,16 April 2026.,2026-05-07,10:30,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicle_-_FTC.pdf,True,"Posted in Advertised Tenders . The Fair Trading Commission (“FTC”) invites tenders for the Procurement of One (1) Sport Utility Vehicle (SUV). Source of finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject Vehicle is to be used for administrative duties, staff transportation for official engagements; inspections, site-visits and compliance activities The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/ftc-procurement-of-one-1-sport-utility-vehicle-suv
SLTA-Procurement For The Supply Of Machinery For Asphalting Works,Seychelles Land Transport Agency,Roads & seawalls,Good and Services,Seychelles Land Transport Agency,“PROCUREMENT FOR THE SUPPLY OF MACHINERY FOR ASPHALTING WORKS” in the email,"The following are eligible to tender on equal terms.
1. The tender is open to all local and international licensed suppliers;
2. A valid Tax Clearance Certificate for the Financial Year 2026 from the Seychelles
Revenue Commission (applicable for local suppliers only);
3. VAT Registration Certificate",,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,16 April 2026.,2026-05-12,10:00,https://www.ntb.sc/media/tender-files/ADVERT_SLTA.pdf,True,"Posted in Advertised Tenders . The Seychelles Land Transport Agency (“SLTA”) is inviting all interested parties to participate in the PROCUREMENT FOR THE SUPPLY OF MACHINERY FOR ASPHALTING WORKS. The tender is divided into the three (3) following lots: Lot 1: Supply of one (1) 4.5-ton sit-on-top roller Lot 2: Supply of one (1) 3-ton wheel loader Lot 3: Supply of two (2) pedestrian walk-behind rollers Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/slta-procurement-for-the-supply-of-machinery-for-asphalting-works
FSA - Procurement of One (1) 15-Seater Minibus.,Financial Services Authority,Infrastructure,Vehicles,Financial Services Authority.,,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,27 March 2026.,2026-04-21,10:00,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_minibus_final.docx,False,"Posted in Advertised Tenders . The Financial Services Authority (“FSA”) invites tenders for the Procurement of One (1) 15-Seater Minibus. Source of finance : Financial Services Authority. Eligibility : The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject : The minibus is intended for the transportation of FSA staff. Period of Delivery : Four (4) Months from the date of the award of contract. Access to tender Dossier : The Tender Dossier can be obtained by emailing the Procurement Unit at This email address is being protected from spambots. You need JavaScript enabled to view it. as from Monday 30th March 2026 between 8:30am to 3:00pm. Closing date for Dossier : The closing date for obtaining the tender dossier is Tuesday 7th April 2026 at 3:00pm. Note : The tender documents are to be given to interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fsa-procurement-of-one-1-15-seater-minibus
Procurement for the Supply of Stationery Items,Ministry of Education,Roads & seawalls,,,,,,,,SR 150.00,24th March 2026 at 10,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,16 March 2026.,2026-04-09,11:00,https://www.ntb.sc/media/tender-files/Procurement_for_the_Supply_of_Stationery_Items_2026_Final_version.pdf,True,"Posted in Advertised Tenders . The Ministry of Education is inviting for bids from local suppliers for the: Procurement for the Supply of Stationery Items. The Tender has been divided into five (5) Lots. Bidders may participate in all five (5) Lots and will be eligible to be awarded with one or more Lots. Lot 3 – Envelops Lot 5 – Miscellaneous The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/procurement-for-the-supply-of-stationery-items-3
SLA - Procurement of One (1) Sport Utility Vehicle,,Infrastructure,Vehicles,Government of Seychelles,Procurement of One (1) Sport Utility Vehicle for the Seychelles Licensing Authority.,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,12 March 2026.,2026-04-01,10:00,https://www.ntb.sc/media/tender-files/Advert_for_Procurment_of_One_Vehicle.docx,False,"Posted in Advertised Tenders . The Seychelles Licensing Authority invites bidders to tender for the Procurement of One (1) Sport Utility Vehicle for the Seychelles Licensing Authority. SOURCE OF FINANCE: Government of Seychelles PROJECT TITLE: Procurement of One (1) Sport Utility Vehicle for the Seychelles Licensing Authority. ELIGIBILITY: All licensed Motor Vehicle dealers operating in Seychelles are eligible to tender on equal terms. PURPOSE: Vehicles are to be used for office deliveries, dispatch, surveys, inspection etc… PERIOD OF DELIVERY: Three (3) Months from the date of Contract Award ACCESS TO TENDER DOSSIER: The Tender Dossier can be obtained from the Seychelles Licensing Authority as from Wednesday 18 th March 2026 between 9.00am to 3.30pm by emailing This email address is being protected from spambots. You need JavaScript enabled to view it. to request for a Soft Copy of the Tender Dossiers. CLOSING DATE FOR OBTAINING TENDER: The deadline for obtaining the tender dossier shall be Tuesday 24 th March 2026 at 3.30pm. Note: The tender documents are to be given for free and No bidding documents shall be issued past this deadline. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sla-procurement-of-one-1-sport-utility-vehicle
SLTA - Procurement of vehicles,Seychelles Land Transport Agency,Infrastructure,Vehicles,Government of Seychelles,The Supply of Vehicles for SLTA,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,11 March 2026.,2026-04-02,10:00,https://www.ntb.sc/media/tender-files/NATION_ADVERT-_PROCUREMENT_OF_VEHICLES.doc,False,"Posted in Advertised Tenders . The Seychelles Land Transport Agency invites tenders for The Procurement of Vehicles for SLTA divided into four (4) lots. Bidders may submit bids for one (1) or all lots and may be awarded one (1) or all lots. LOT 1 – Procurement of one (1) hybrid/petrol SUV (4WD). LOT 2 – Procurement of one (1) twin cab pickup (4WD). LOT 3 - Procurement of one (1) 7+ Seater MPV/Minivan LOT 4 – Procurement of one (1) 4-Ton Truck SOURCE OF FINANCE: Government of Seychelles Project Title:   The Supply of Vehicles for SLTA Eligibility: The following are eligible to tender on equal terms. All licensed motor vehicle dealers operating in Seychelles. Purpose:  The vehicles are to be used to support the operational requirements of the Agency on Mahe and Praslin. Period of Delivery: Three (3) Months from Date of Confirmation or availability of stock for immediate purchase. Access to Tender Dossier:  The Tender Dossiers can be obtained from the SLTA’s Head Office at Dream gate Complex, 1st Floor, Block B, Ile Du Port as of Friday 13th March 2026 from 9:00am to 12:00pm and 1:00pm to 3:00pm. Soft copy of the Tender Dossier can be obtained by e-mailing This email address is being protected from spambots. You need JavaScript enabled to view it. . The deadline date for obtaining the dossier shall be Thursday 19th March 2026 not later than 12:00pm. Note: The tender documents are to be given to the interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/slta-procurement-of-vehicles
FSA - Procurement of IT Equipment and Toners for the Year 2026,Financial Services Authority,Infrastructure,Good and Services,Financial Services Authority,,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,06 March 2026.,2026-04-21,10:00,https://www.ntb.sc/media/tender-files/Advert_IT_Equipment___Toners_2026_Corrigendum.docx,False,"Posted in Advertised Tenders . T he Financial Services Authority (“FSA”) is inviting all interested parties to participate in the Procurement of IT Equipment and Toners for the Year 2026. The tender is divided into the following lots: Source of finance: Financial Services Authority Eligibility:  The following are eligible to tender on equal terms. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fsa-procurement-of-it-equipment-and-toners-for-the-year-2026
Construction Of Concrete Bollards – Anse Royale,Seychelles Infrastructure Agency,Roads & seawalls,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,12 Calendar Weeks,ANSE ROYALE,SR 300.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,04 March 2026.,2026-03-23,10:00,https://www.ntb.sc/media/tender-files/Advert-Construction_of_concrete_Bollards_-_Anse_Royale_Final-_Corrigendum.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of Ministry For Environment, Climate, Energy And Natural Resources Invitation To Tender Construction Of Concrete Bollards – Anse Royale Source Of Finance : Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-concrete-bollards-anse-royale
Glacis – Sorento Pipeline Replacement and Duct Laying (Phase 1),Public Utilities Corporation,Infrastructure,,The Public Utilities Corporation (PUC),Glacis – Sorento Pipeline Replacement and Duct Laying (Phase 1),All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles.,Class One,,,SR 500.00,12th March 2026 at 10:00am,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,04 March 2026.,2026-03-26,10:00,https://www.ntb.sc/media/tender-files/Tender_Press_Notice_-_Glacis_Phase_1.pdf,True,"Posted in Advertised Tenders . Source of Finance: The Public Utilities Corporation (PUC) Project Title: Glacis – Sorento Pipeline Replacement and Duct Laying (Phase 1) Eligibility: All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles. Subject: PUC intends to undertake phase 1 of its water pipe & electrical duct laying at Glacis. The Works shall comprise of the following: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/glacis-sorento-pipeline-replacement-and-duct-laying-phase-1
SBC - Procurement of Four (4)  Vehicles,Seychelles Broadcasting Corporation,Roads & seawalls,Vehicles,Government of Seychelles.,Procurement of Four (4) Vehicles.,"The following are eligible to tender on equal terms: All licensed and Registered
Motor Vehicle dealers operating in the Seychelles.",,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,02 March 2026.,2026-03-25,10:30,https://www.ntb.sc/media/tender-files/Advert_002.pdf,True,"Posted in Advertised Tenders . The Seychelles Broadcasting Corporation (SBC) invites tenders to bid for the Procurement of Four (4) Vehicles. Four (4) Suv Two-Wheel Drive Source of Finance : Government of Seychelles The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sbc-procurement-of-four-4-vehicles-suv-two-wheel-drive
