title,org,eoi_type,category,tags,created_date,submission_deadline,submission_time,description,pdf_url,pdf_text,detail_url
Procurement of 15mm Dry Dial Class C Multi-Jet Water Meters,Public Utilities Corporation,EOI,Infrastructure,,18 March 2026.,2026-03-27,,"Posted in Expression of Interest . T h e Pub lic U t ili t i e s C o r po ra t i o n wis he s t o i n f o r m i n t e r e s t e d pa r t i e s t h a t it will b e u n d e r ta ki n g t h e P ro c ur e m e nt of 15 mm Dry D i a l C la s s C M u l t i - Je t W a t e r M e t e rs ( body m a t e r i a l : br ass ) th r ou g h t h e a d opt i o n o f L i m i te d B i dd i n g M etho d u n de r S e c t i o n 6 1 ( 2) ( a ) o f t h e P ub lic P r o c u r e me n t A ct 2 0 08 . T h is is o n t h e g r o u nd s o f re s t r ic te d q ua li f i e d s ou r c e s t o p r o vi d e t h e g o od s a s pe r s p e ci f ic at i on s. T h e p ro po s e d s h o r t lis te d b i dde r s a r e a s f o ll o ws: - E ls te r K e n t M e t e r i n g P t y L t d (r eg i ona l b r an c h b a s e d in Sou t h Af r ic a ) - Ni ngb o Wa te r M ete r ( G R O U P ) C o . L t d ( C h i na ) - Ana n d W a t e r M ete r M f g C o . ( P ) Ltd . - B M E T E RS s . r . l. ( I t a ly) The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/Press_notice-_Waste_Meters.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-15mm-dry-dial-class-c-multi-jet-water-meters
Procurement Of Consultancy Services To Develop A Comprehensive Business Continuity Management Systems In Line With Iso 22301 For The Financial Services Authority.,Financial Services Authority,EOI,Infrastructure,,18 March 2026.,2026-04-16,12:00,"Posted in Expression of Interest . The Seychelles Financial Services Authority (“FSA”) is seeking the services of a qualified and experienced Consultancy Firms either locally or internationally to develop a comprehensive Business Continuity Management System (“BCMS”). The main objective of the Consultancy Services is to develop a comprehensive and fully operational BCMS in line with ISO 22301 for the FSA. The BCMS should provide a structured framework to ensure continuity of the Authority’s critical functions during disruptions, strengthen its Organizational resilience and align its business continuity practices taking into account the national framework, stakeholder relationships and international best practices. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/Advert_for_BCMS_FSA_2025_fin.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-consultancy-services-to-develop-a-comprehensive-business-continuity-management-systems-in-line-with-iso-22301-for-the-financial-services-authority
Pre-Qualification Of Service Providers For The Management And Operation Of The Government Owned Child Care Centre At Les Mamelles,Ministry of Local Government,Prequalification,Infrastructure,,18 March 2026.,2026-03-30,10:00,"Posted in Expression of Interest . The Ministry of Local Government and Inner Islands invites sealed applications from eligible candidates for purposes of prequalifying Service Providers for “Management and operation of the Government Owned Child Care Centre at Les Mamelles”. Prequalification will be conducted in accordance with the procedures as specified in the Public Procurement Act 2008 and Public Procurement Regulations 2014 Pre-Qualification documents containing detailed terms and conditions, can be collected free of charge, from Mr. Jones Mangroo Procurement Manager Ministry Of Local Government and Inner Islands Tel: 4297400/2502927 Email: This email address is being protected from spambots. You need JavaScript enabled to view it. between 8:00am to 3.30 pm on Monday 16th March 2026 Last day of collection is at 3:00 pm on Friday 20th March 2026 The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/MINISTRY_OF_LOCAL_GOVERNMENT_AND_COMMUNITY_AFFAIRS.pdf,,https://www.ntb.sc/tenders/expression-of-interest/pre-qualification-of-service-providers-for-the-management-and-operation-of-the-government-owned-child-care-centre-at-les-mamelles
INVITATION FOR APPLICATION FOR PRE-QUALIFICATION FOR THE PROVISION OF CLEANING & GROUND MAINTENANCE SERVICES FOR CATEGORY (3)THREE,Posted inExpression of Interest,EOI,Infrastructure,,20 February 2026.,,,"Posted in Expression of Interest . INVITATION FOR APPLICATION FOR PRE-QUALIFICATION FOR THE PROVISION OF CLEANING & GROUND MAINTENANCE SERVICES FOR CATEGORY (3)THREE In accordance with Regulations 41 to 45 of the Public Procurement Regulation’s 2014, the Government of Seychelles (GOS) is inviting all registered cleaning and ground maintenance contractors/agencies who are interested to provide “ Cleaning and Ground Maintenance Services ” in Schools , Health and Educational Premises to collect and subsequently submit the duly completed Application Form for Pre-Qualification Meetings will held as follows:- The Application Forms can ve collected at the meeting of from the address Collection of Formthe address below from Monday 23rd February 2026 until Thursday 26th February 2026 The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/invitation-for-application-for-pre-qualification-for-the-provision-of-cleaning-ground-maintenance-services-for-category-3-three
Procurement for Maintenance and Servicing of Air-conditioning at National House Building,Posted inExpression of Interest,Limited Bidding,Infrastructure,,17 February 2026.,2026-02-24,15:00,"Posted in Expression of Interest . The Department of Public Administration wishes to inform interested parties that it will be undertaking the Procurement for Maintenance and Servicing of Air-conditioning at National House Building, through the adoption of Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. The proposed shortlisted bidders are as follows: This procurement is restricted to potential service providers who possess the necessary technical capacity and qualifications to provide air-conditioning maintenance and servicing to the required standards. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/Bid_Notice_-_Maintenance_of_AC_Unit_reviewed_Feb_2026.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-maintenance-and-servicing-of-air-conditioning-at-national-house-building
Pre-Qualification Of Service Providers For The “Youth At Risk Programme,Posted inExpression of Interest,EOI,Infrastructure,,10 February 2026.,2026-03-03,11:00,"Posted in Expression of Interest . PRE-QUALIFICATION NOTICE Pre-Qualification Of Service Providers For The “Youth At Risk Programme. ” The Family and Equality Department intends to pre-qualify Service Providers for the “ Youth at Risk Programme” . The Pre-Qualification documents containing detailed Terms and Conditions, can be collected free of charge, at the Office of the Family and Equality Department between 9am to 3pm . Mondays to Fridays Last day of collection Monday 16 th February 2026. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/advert_-_EXPRESSION_OF_INTEREST_-youth_at_risk_2026_fin.pdf,,https://www.ntb.sc/tenders/expression-of-interest/pre-qualification-of-service-providers-for-the-youth-at-risk-programme
Consultancy Services for Developing the Second Biennial Transparency Report (BTR2),Climate Change Department,EOI,Infrastructure,,19 August 2025.,2025-09-03,09:00,"Posted in Expression of Interest . Consultancy Services for Developing the Second Biennial Transparency Report (BTR2) The Climate Change Department is inviting Expressions of Interest (EOI) from qualified consultants to support Seychelles prepare and submit a Second Biennial Transparency Report (BTR2) to meet UNFCCC and PA reporting requirements while responding to national development goals and allowing for “built-in flexibility” of the country needs in light of its capacities and national circumstances, priorities and needs, while bridging gaps identified. The topics of interest include: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/EOI_ADVERT_CHAPTERS_BTR2.pdf,,https://www.ntb.sc/tenders/expression-of-interest/consultancy-services-for-developing-the-second-biennial-transparency-report-btr2
Tender For Renovation Work On La Pirogue Flat- Mont Fleuri,Property Management Corporation,Limited Bidding,Housing,,20 December 2024.,2024-12-27,,"Posted in Expression of Interest . The Property Management Corporation (PMC) wishes to inform interested parties that it will be undertaking the Tender For Renovation Work On La Pirogue Flat – Mont Fleuri through the adoption of Limited Bidding Method in line with Section 61 (2) (a) of the Public Procurement Act 2008. This is on the grounds of limited number of qualified contractors meeting the criteria to undertaken the works. The proposed shortlisted bidders are as follows: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/Press_Notice_-_Tender_for_the_Renovation_at_La_Pirogue_Flat_Mont_Fleuri.pdf,,https://www.ntb.sc/tenders/expression-of-interest/tender-for-renovation-work-on-la-pirogue-flat-mont-fleuri
Procurement Of Frozen Whole Chicken Meat,Seychelles Prison Service,Limited Bidding,Infrastructure,,04 December 2024.,2024-12-10,15:00,"Posted in Expression of Interest . The Seychelles Prison Service wishes to inform that it will be procuring 3240kg of frozen whole chicken meat per month through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to ensure that the inmates have a balanced and nutritious diet. Which is essential for maintaining health and well-being and will help meet the dietary needs of the prison population. Ensuring proper nutrition can contribute to better overall, which is important for the smooth operation of the facility. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-frozen-whole-chicken-meat-2
Procurement Of Frozen Whole Chicken Meat,Posted in Expression of Interest,EOI,Infrastructure,,04 December 2024.,2024-12-10,15:00,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-frozen-whole-chicken-meat
