title,org,tender_description,opening_date,n_bids_declared,bid_number,bidder_name,currency,bid_amount,category,created_date,pdf_url,detail_url
Construction Of Motorable Access Road At Baie Lazare – Phase  II,SEYCHELLES INFRASTRUCTURE AGENCY,CONSTRUCTION OF MOTORABLE ACCESS ROAD AT BAIE LAZARE – PHASE II,,4,1.0,BENOITON CONSTRUCTION CO. LTD,SR,2892385.7,Roads & seawalls,15 April 2026.,https://www.ntb.sc/media/tender-files/CONST._MOTORABLE_ACCESS_ROAD_AT_BAIE_LAZARE_-_PHASE_2.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/construction-of-motorable-access-road-at-baie-lazare-phase-ii
Construction Of Motorable Access Road At Baie Lazare – Phase  II,SEYCHELLES INFRASTRUCTURE AGENCY,CONSTRUCTION OF MOTORABLE ACCESS ROAD AT BAIE LAZARE – PHASE II,,4,3.0,EUODOO PTY LTD,SR,2299577.0,Roads & seawalls,15 April 2026.,https://www.ntb.sc/media/tender-files/CONST._MOTORABLE_ACCESS_ROAD_AT_BAIE_LAZARE_-_PHASE_2.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/construction-of-motorable-access-road-at-baie-lazare-phase-ii
Construction Of Motorable Access Road At Baie Lazare – Phase  II,SEYCHELLES INFRASTRUCTURE AGENCY,CONSTRUCTION OF MOTORABLE ACCESS ROAD AT BAIE LAZARE – PHASE II,,4,4.0,VEERA CONSTRUCTION,SR,1859775.0,Roads & seawalls,15 April 2026.,https://www.ntb.sc/media/tender-files/CONST._MOTORABLE_ACCESS_ROAD_AT_BAIE_LAZARE_-_PHASE_2.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/construction-of-motorable-access-road-at-baie-lazare-phase-ii
"Construction Of Seawall Rock Armouring, Bullnose Parapet Wall & Reclamation At Au Cap On Parcel S2569",SEYCHELLES LAND TRANSPORT AGENCY,"CONSTRUCTION OF SEAWALL ROCK ARMOURING, BULLNOSE PARAPET WALL & RECLAMATION AT AU CAP ON PARCEL S2569",13th APRIL 2026 AT: 11:00 HRS,2,1.0,BS CONSTRUCTION,SR,4092361.25,Roads & seawalls,15 April 2026.,https://www.ntb.sc/media/tender-files/CONST._SEAWALL_ROCK_AMOURING_BULLNOSE_PARAPET_WALL__RECLAMATION_AUT_CAP_S2569.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/construction-of-seawall-rock-armouring-bullnose-parapet-wall-reclamation-at-au-cap-on-parcel-s2569
"Construction Of Seawall Rock Armouring, Bullnose Parapet Wall & Reclamation At Au Cap On Parcel S2569",SEYCHELLES LAND TRANSPORT AGENCY,"CONSTRUCTION OF SEAWALL ROCK ARMOURING, BULLNOSE PARAPET WALL & RECLAMATION AT AU CAP ON PARCEL S2569",13th APRIL 2026 AT: 11:00 HRS,2,2.0,UNIQUE ENG.,SR,4071063.25,Roads & seawalls,15 April 2026.,https://www.ntb.sc/media/tender-files/CONST._SEAWALL_ROCK_AMOURING_BULLNOSE_PARAPET_WALL__RECLAMATION_AUT_CAP_S2569.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/construction-of-seawall-rock-armouring-bullnose-parapet-wall-reclamation-at-au-cap-on-parcel-s2569
Renovation Works On One Block Of Six Units At Old Creche Gro Ros And One Block Six Units At Kampala,PROPERTY MANAGEMENT CORPORATION,RENOVATION WORKS ON ONE BLOCK OF SIX UNITS AT OLD CRECHE GRO ROS AND ONE BLOCK SIX UNITS AT KAMPALA,3. NTB’s Representatives 1. Ms. Nellie COOPOOSAMY 3. Procuring Entity NO REPRESENTATIVE,5,1.0,AMICO INVESTMENT,SR,812174.0,Housing,15 April 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_WORK_ON_TWO_BLOCKS_OF_ONE_BEDROOM_UNITS_AT_LES_MAMALLES.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-on-one-block-of-six-units-at-old-creche-gro-ros-and-one-block-six-units-at-kampala
Renovation Works On One Block Of Six Units At Old Creche Gro Ros And One Block Six Units At Kampala,PROPERTY MANAGEMENT CORPORATION,RENOVATION WORKS ON ONE BLOCK OF SIX UNITS AT OLD CRECHE GRO ROS AND ONE BLOCK SIX UNITS AT KAMPALA,3. NTB’s Representatives 1. Ms. Nellie COOPOOSAMY 3. Procuring Entity NO REPRESENTATIVE,5,2.0,VEERA CONSTRUCTION,SR,1051354.0,Housing,15 April 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_WORK_ON_TWO_BLOCKS_OF_ONE_BEDROOM_UNITS_AT_LES_MAMALLES.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-on-one-block-of-six-units-at-old-creche-gro-ros-and-one-block-six-units-at-kampala
Renovation Works On One Block Of Six Units At Old Creche Gro Ros And One Block Six Units At Kampala,PROPERTY MANAGEMENT CORPORATION,RENOVATION WORKS ON ONE BLOCK OF SIX UNITS AT OLD CRECHE GRO ROS AND ONE BLOCK SIX UNITS AT KAMPALA,3. NTB’s Representatives 1. Ms. Nellie COOPOOSAMY 3. Procuring Entity NO REPRESENTATIVE,5,3.0,KP CONSTRUCTION,SR,778536.6,Housing,15 April 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_WORK_ON_TWO_BLOCKS_OF_ONE_BEDROOM_UNITS_AT_LES_MAMALLES.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-on-one-block-of-six-units-at-old-creche-gro-ros-and-one-block-six-units-at-kampala
Renovation Works On One Block Of Six Units At Old Creche Gro Ros And One Block Six Units At Kampala,PROPERTY MANAGEMENT CORPORATION,RENOVATION WORKS ON ONE BLOCK OF SIX UNITS AT OLD CRECHE GRO ROS AND ONE BLOCK SIX UNITS AT KAMPALA,3. NTB’s Representatives 1. Ms. Nellie COOPOOSAMY 3. Procuring Entity NO REPRESENTATIVE,5,4.0,RHS CONSTRUCTION,SR,1060815.8,Housing,15 April 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_WORK_ON_TWO_BLOCKS_OF_ONE_BEDROOM_UNITS_AT_LES_MAMALLES.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-on-one-block-of-six-units-at-old-creche-gro-ros-and-one-block-six-units-at-kampala
Renovation Works On One Block Of Six Units At Old Creche Gro Ros And One Block Six Units At Kampala,PROPERTY MANAGEMENT CORPORATION,RENOVATION WORKS ON ONE BLOCK OF SIX UNITS AT OLD CRECHE GRO ROS AND ONE BLOCK SIX UNITS AT KAMPALA,3. NTB’s Representatives 1. Ms. Nellie COOPOOSAMY 3. Procuring Entity NO REPRESENTATIVE,5,5.0,ISLAND BUILD & MAINTENANCE,SR,973637.5,Housing,15 April 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_WORK_ON_TWO_BLOCKS_OF_ONE_BEDROOM_UNITS_AT_LES_MAMALLES.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-on-one-block-of-six-units-at-old-creche-gro-ros-and-one-block-six-units-at-kampala
