period,org,description,winner,sr_value,currency,foreign_amount,amount_raw,category
TENDER AWARD (MAY - AUGUST 2025),Public Utilities Corporation,Supply of Wooden Poles,South Seas Import & Export,,ZAR,6406369.3," ZAR 6,406,369.30",Other
TENDER AWARD (MAY - AUGUST 2025),Seychelles Broadcasting,Procurement of Digitilization of SBC’s Audio Visual Archive 2025,RiverMedia,,USD,100.0, USD 100.00/ unit,Infrastructure
TENDER AWARD (MAY - AUGUST 2025),Public Utilities Corporation,Procurement of Single – Phase Energy Meters,Iskraemeco,,EUR,58500.0," Eur 58,500.00",Energy
TENDER AWARD (MAY - AUGUST 2025),Seychelles Land Transport Agency,Resurfacing of Dan Mang Road La Digue,United Concrete Products (Sey) Ltd,999676.0,SR,," SR999,676.00",Roads & seawalls
TENDER AWARD (MAY - AUGUST 2025),Seychelles Land Transport Agency,"Resurfacing of Road From Police Station, La Passe To Veuve Road Junction, Anse Reunion, La Digue",United Concrete Products (Sey) Ltd,3433523.17,SR,," SR3,433,523.17",Roads & seawalls
TENDER AWARD (MAY - AUGUST 2025),Tourism Department,Expedia Campaign,Expedia Group,,USD,115000.0," USD 115,000.00",Other
TENDER AWARD (MAY - AUGUST 2025),Seychelles Public Transport Corporation,Procurement of CCTV on Buses,BUSEA,,USD,98250.0," USD 98,250.00",Transport
TENDER AWARD (MAY - AUGUST 2025),Seychelles Infrastructure Agency,"Remedial Works on Anse Source D’Argent Seawall, La Digue - Variations",Thunder Construction Pty Ltd,1645574.67,SR,," SR1,645,574.67",Roads & seawalls
TENDER AWARD (MAY - AUGUST 2025),Public Utilities Corporation,Procurement of Spare Parts Wartsila Engine A51 & B51,Wartsila Global Logistics Services,,,," Euro105,693.20",Other
TENDER AWARD (MAY - AUGUST 2025),Public Utilities Corporation,Emergency Desalination Project at Anse La Mouche,Engginium International FZC,,USD,88800.0," USD 88,800.00",Utilities
TENDER AWARD (MAY - AUGUST 2025),Seychelles Infrastructure Agency,Site Investigation for the Construction of the New Seychelles Hospital at Roche Caiman,United Concrete Products Sey,971750.0,SR,," SR971,750.00",Health
TENDER AWARD (MAY - AUGUST 2025),Public Sector Bureau,Grounds Maintenance at National House—Extension of contract,J & J Agency,113700.0,SR,," SR113,700.00",Infrastructure
TENDER AWARD (MAY - AUGUST 2025),Public Utilities Corporation,Procurement of Consultant for Dynamic Stability Analysis Related to5MW Floating Solar PV at Providence Lagoon,Norconsult,,USD,68000.0," USD 68,000.00",Energy
TENDER AWARD (MAY - AUGUST 2025),Landscape & Waste Management Agency,Daytime Security Service at English River Head Office Premises,Vision Security,86731.32,SR,," SR86,731.32",Infrastructure
TENDER AWARD (MAY - AUGUST 2025),Health Care Agency,Engagement of Professor Bruno Holtof as Senior Technical Advisor,Professor Bruno Holthof,,GBP,5010.0, GBP5010.00,Other
